tags,name,patrons,month_amount,total_amount
"SPORT,LEKKOATLETYKA,ZDROWIE",Michał Galikowski,1,0 zł,1375 zł
"SPORT,ZDROWIE",Chodźże na Rower,0,0 zł,0 zł
"WYPRAWY,SPORT,ZDROWIE",Izabela Puchala,0,0 zł,480 zł
"SPORT,WORKOUT,YOUTUBE,ZDROWIE",kalistenikapolska.pl,0,0 zł,10 zł
ZDROWIE,Martin Rybczynski,0,0 zł,2097 zł
"SPORT,WORKOUT,ZDROWIE",Anna Sośnierz,0,0 zł,55 zł
"SPORT,LEKKOATLETYKA,INNE,ZDROWIE",Lepiej Biegać - Marcin Suski,0,0 zł,0 zł
"EDUKACJA,ZDROWIE",Pełnia życia | Maciej Pasowicz,0,0 zł,0 zł
"INNE,EDUKACJA,ZDROWIE",Etykietnik.pl,0,0 zł,609 zł
ZDROWIE,Joanna Manikowska,0,0 zł,3352 zł
"WYPRAWY,SPORT,ZDROWIE",Michał Pustuła,0,0 zł,0 zł
"SPORT,EDUKACJA,INNE,ZDROWIE",Fit-Kids Centrum Aktywnego Dziecka,0,0 zł,0 zł
"SPORT,SPORTY ZIMOWE,ZDROWIE",Hokejowa Reprezentacja Artystów Polskich,0,0 zł,530 zł
"EDUKACJA,ZDROWIE",Michał Jan Bagiński,0,0 zł,0 zł
"INNE,SPORT,ZDROWIE",Sport&Fun,0,0 zł,150 zł
"SPORT,ZDROWIE",Marcin Dzieński,0,0 zł,0 zł
"SPORT,SPORTY EKSTREMALNE,YOUTUBE,ZDROWIE",SzajBajk,19,232 zł,FALSE
"FILM,KOMIKS,INNE",Reiko Project,FALSE,FALSE,FALSE
"KOMIKS,SZTUKA,EDUKACJA",Mieszko Komiks,15,1200 zł,15 tys. zł
"KOMIKS,SZTUKA,EDUKACJA",Szarosen,48,840 zł,23 tys. zł
"FILM,KOMIKS,INNE",Grupa Mirai,8,168 zł,5572 zł
"GRY,KOMIKS,PUBLICYSTYKA",PIXEL,172,7392 zł,FALSE
"KOMIKS,SZTUKA,GRAFIKA",Natalia D. - Ayumi.,1,100 zł,870 zł
"KOMIKS,SZTUKA,GRAFIKA",SzymonOFF,17,495 zł,14 tys. zł
"KOMIKS,PUBLICYSTYKA",Ahmed Goldstein,4,30 zł,17 tys. zł
"KOMIKS,GRAFIKA",Anna Kłosowska - Odmęty Absurdu,36,610 zł,33 tys. zł
"KOMIKS,SZTUKA,SPORT",Kamil Dobrowolski,0,0 zł,0 zł
"FILM,KOMIKS,SZTUKA",Arkadiusz Hapka,0,0 zł,0 zł
"KOMIKS,EDUKACJA,GRAFIKA,#KULTURAWSIECI",Zen Sarkazmu,0,0 zł,0 zł
"KOMIKS,DESIGN,GRAFIKA",Łukasz Godlewski,3,45 zł,120 zł
"KOMIKS,SZTUKA,GRAFIKA",Devonia-Art,0,0 zł,0 zł
KOMIKS,Chaos i Entropia,8,94 zł,605 zł
"KOMIKS,GRAFIKA,MALARSTWO",Tunrida,0,0 zł,60 zł
"KOMIKS,SZTUKA,RĘKODZIEŁO",3D_stf_from_nth,0,0 zł,0 zł
"KOMIKS,SZTUKA,GRAFIKA",LazyDumpling,0,0 zł,0 zł
"GRY,KOMIKS,SZTUKA",shili,3,55 zł,390 zł
"KOMIKS,SZTUKA,GRAFIKA",Akaa,3,40 zł,120 zł
"KOMIKS,EDUKACJA,GRAFIKA",Karola Kułaga,2,30 zł,1445 zł
"KOMIKS,SZTUKA,GRAFIKA",Paulina Śliwa Art,0,0 zł,72 zł
"KOMIKS,PUBLICYSTYKA,GRAFIKA",Magazyn Kreski,9,85 zł,4820 zł
"KOMIKS,SZTUKA,GRAFIKA",Adrian Pindel,0,0 zł,45 zł
"KOMIKS,INNE,GRAFIKA",Magdalena Białasiewicz,2,55 zł,975 zł
"GRY,KOMIKS,INNE",Animawka,0,0 zł,12 zł
"KOMIKS,SZTUKA,INNE",Paweł Draus,0,0 zł,0 zł
"GRY,KOMIKS,GRAFIKA",KattLett,FALSE,FALSE,FALSE
"KOMIKS,SZTUKA,GRAFIKA",Piotr Gierwatowski,3,25 zł,1523 zł
"KOMIKS,SZTUKA,GRAFIKA",The Shadow Of Death,0,0 zł,9 zł
"KOMIKS,SZTUKA,GRAFIKA",it_flickers,0,0 zł,0 zł
"KOMIKS,INNE,GRAFIKA",Narherkugel721,0,0 zł,22 zł
"KOMIKS,SZTUKA,GRAFIKA",Ważkowe Komiksy,0,0 zł,190 zł
"KOMIKS,SZTUKA,INNE",Okropny,2,60 zł,2249 zł
"KOMIKS,MODA,SZTUKA",Dar-chan Illustration,0,0 zł,0 zł
"FILM,KOMIKS,EDUKACJA",Tomasz Mering,1,10 zł,90 zł
"KOMIKS,INNE,RĘKODZIEŁO",DiviX – Rysuneczki i Komiksiki - Rysuneczki.pl,0,0 zł,0 zł
KOMIKS,Hellkomix,1,5 zł,310 zł
"KOMIKS,SZTUKA,INNE",Kosmiczna Ekspedycja Kube,0,0 zł,2724 zł
KOMIKS,berrbwvwbv,0,0 zł,210 zł
"FILM,GRY,KOMIKS",SzakulFirsty,0,0 zł,255 zł
"FILM,KOMIKS,SPORT,PIŁKA NOŻNA",Z innego świata,0,0 zł,0 zł
"KOMIKS,GRAFIKA,MALARSTWO",Majka Rochowiak,0,0 zł,0 zł
"GRY,KOMIKS,COSPLAY",Just Ela Things,0,0 zł,1320 zł
"KOMIKS,GRAFIKA",Opowiastki z Przedziału,0,0 zł,66 zł
"KOMIKS,GRAFIKA,MALARSTWO",Karolina Jasińska,0,0 zł,600 zł
"GRY,KOMIKS",DivineEye,0,1100 zł,FALSE
"FILM,KOMIKS,COSPLAY",Studio filmowe Pseudoart,0,0 zł,0 zł
"KOMIKS,GRAFIKA",Graphos,0,0 zł,2031 zł
"KOMIKS,GRAFIKA,MALARSTWO",człowiek w puszce,0,0 zł,60 zł
"KOMIKS,SZTUKA,GRAFIKA",Artur Galaktyka,0,0 zł,20 zł
"KOMIKS,PUBLICYSTYKA,GRAFIKA",Kapitan LittleLadyPunk,0,0 zł,400 zł
"KOMIKS,GRAFIKA",Człowiek Przeciwko Ludzkości,1,15 zł,1155 zł
"KOMIKS,SZTUKA,GRAFIKA",Igu,0,0 zł,515 zł
"KOMIKS,SZTUKA,GRAFIKA",JagooArt,1,5 zł,375 zł
"KOMIKS,SZTUKA,MALARSTWO",Katarzyna Lady Werewolf Stolarska,0,0 zł,500 zł
"KOMIKS,GRAFIKA",W połowie pusta,0,0 zł,0 zł
"KOMIKS,INNE,GRAFIKA",Kinga Korska,2,30 zł,1685 zł
"KOMIKS,SZTUKA,GRAFIKA",Tom Wlod,1,10 zł,2280 zł
"GRY,KOMIKS,COSPLAY",Chateado_Caveira,0,0 zł,0 zł
"KOMIKS,SZTUKA,GRAFIKA",Monika Laprus-Wierzejska,4,35 zł,1925 zł
"KOMIKS,SZTUKA,INNE,MALARSTWO",NadyeART,0,0 zł,0 zł
"KOMIKS,GRAFIKA,MALARSTWO",Bartek Błaszczeć,0,FALSE,FALSE
"KOMIKS,SZTUKA,GRAFIKA",MizumiSenseiART,0,0 zł,0 zł
"KOMIKS,SZTUKA,GRAFIKA",lomcia,0,0 zł,70 zł
KOMIKS,Rotfl Playing Games - RPGowy komiks internetowy,1,20 zł,7845 zł
KOMIKS,Maciek Zaręba (kater),0,0 zł,1945 zł
"KOMIKS,SZTUKA,GRAFIKA",PYOKOLA,0,0 zł,100 zł
"KOMIKS,SZTUKA,GRAFIKA",Jolka Rebejko,1,20 zł,1710 zł
"KOMIKS,GRAFIKA",Glor666,0,0 zł,0 zł
"KOMIKS,GRAFIKA",Salem Cat,0,0 zł,1006 zł
"KOMIKS,SZTUKA,MALARSTWO",The Art Of Patryk Sokołowski,0,0 zł,0 zł
"KOMIKS,SZTUKA,GRAFIKA",Izabela JeżSnifator Chytkowska,0,0 zł,0 zł
"KOMIKS,PUBLICYSTYKA,GRAFIKA",Remek Dąbrowski,8,90 zł,5970 zł
"FILM,GRY,KOMIKS",Animes.PL - Forum anime & manga,0,0 zł,100 zł
"KOMIKS,SZTUKA,GRAFIKA,MALARSTWO",wiktor tabak,0,0 zł,75 zł
"FILM,KOMIKS",Avalon Marvel Comics,0,0 zł,255 zł
"KOMIKS,RĘKODZIEŁO,GRAFIKA,MALARSTWO",Kruczkowska,FALSE,FALSE,FALSE
"KOMIKS,SZTUKA,GRAFIKA",Szary,0,0 zł,1205 zł
"KOMIKS,SZTUKA,GRAFIKA",Paweł Jaroński,2,5 zł,8035 zł
"KOMIKS,INNE",Torbacz Wombat,2,55 zł,3075 zł
"KOMIKS,SZTUKA,GRAFIKA",Panna N.,2,1 zł,2257 zł
"KOMIKS,GRAFIKA",Barwy Biedy,FALSE,FALSE,FALSE
"KOMIKS,GRAFIKA",Hekate Avesta,0,0 zł,0 zł
"KOMIKS,SZTUKA,GRAFIKA",Pracownia Cioci Kot,1,100 zł,5420 zł
"KOMIKS,PUBLICYSTYKA,GRAFIKA",KSIĄŻKA - Współczesny polski komiks,4,35 zł,3290 zł
"KOMIKS,GRAFIKA",Katarzyna Kędzior,0,0 zł,1 zł
"KOMIKS,SZTUKA",keik,0,0 zł,13 zł
"KOMIKS,GRAFIKA",Revv,FALSE,FALSE,FALSE
"KOMIKS,SZTUKA,GRAFIKA",Eureka Rysuje,0,0 zł,188 zł
"KOMIKS,GRAFIKA",Olimpia Ropek,0,0 zł,0 zł
"KOMIKS,RĘKODZIEŁO,GRAFIKA",Yen,FALSE,FALSE,FALSE
"FILM,GRY,KOMIKS",Stare Konie,23,600 zł,18 tys. zł
"GRY,RĘKODZIEŁO,EDUKACJA",Hackroom122,10,460 zł,16 tys. zł
"GRY,DESIGN,EDUKACJA",Historical Poland: Redux Team,0,0 zł,0 zł
GRY,VIshop,0,0 zł,5 zł
"FILM,GRY",Niphilist Studios,1,15 zł,30 zł
"GRY,KULINARNI,STREAMERZY",Magnus,9,370 zł,860 zł
"GRY,INNE",Planszownia Grodzisk,3,42 zł,98 zł
"GRY,INNE,SPORT",Gildia Tenisa Stołowego,0,0 zł,0 zł
"GRY,STREAMERZY",Krzysztof Tomczak,14,800 zł,3425 zł
"GRY,SPORT,EDUKACJA",Profesorzy Bukmacherki,0,0 zł,0 zł
"WYPRAWY,GRY,GRAFIKA",Stettin 3d,1,20 zł,140 zł
GRY,Gra KiKŚ,17,FALSE,FALSE
GRY,openCraft.pl,5,120 zł,1224 zł
"GRY,RĘKODZIEŁO,EDUKACJA",ORTOGRAMY I KUKU - GRY EDUKACYJNE,0,0 zł,0 zł
"GRY,INNE",Eurolot Virtual,0,0 zł,0 zł
GRY,Vis Arcana,0,0 zł,119 zł
GRY,VFW-304,5,60 zł,639 zł
GRY,SPOWIEDŹ U HERETYKA,3,130 zł,2315 zł
GRY,Adam Raziel,0,0 zł,450 zł
GRY,Kamil Czarnecki,0,0 zł,0 zł
"GRY,INNE,RĘKODZIEŁO",Syndikate Co.,1,20 zł,280 zł
GRY,Tawerna Bajarza,1,10 zł,250 zł
"GRY,INNE,EDUKACJA",Muzeum Elektroniki,5,135 zł,1560 zł
"GRY,KOMIKS,INNE",Kajko i Kokosz,3,120 zł,1430 zł
GRY,PL-SIM.org,0,0 zł,80 zł
"GRY,SZTUKA,GRAFIKA",Nashi Art,0,0 zł,653 zł
"GRY,RĘKODZIEŁO,COSPLAY",Adventure Reach - Sala RPG,1,10 zł,60 zł
"GRY,SZTUKA,RĘKODZIEŁO",Plan Janusza,20,466 zł,2967 zł
GRY,KultuGranie,0,0 zł,0 zł
"GRY,EDUKACJA,GRAFIKA",Devmode,3,23 zł,54 zł
"GRY,SPORT,COSPLAY",Petit_Imp,1,7 zł,928 zł
"GRY,KOMIKS,PUBLICYSTYKA",PSX EXTREME,204,6995 zł,FALSE
"FILM,GRY,COSPLAY",Mini_tora_no_shiawase,0,0 zł,625 zł
GRY,Aanda Games,0,0 zł,70 zł
"GRY,RĘKODZIEŁO,COSPLAY",Kaori CosplayArt,2,120 zł,1330 zł
GRY,Ciekawostki ze świata gier,2,55 zł,765 zł
"GRY,SPORT",SIM Miata Challenge,5,80 zł,FALSE
"GRY,KOMIKS,COSPLAY",Pyrkon - Fantastyczne Miejsce Spotkań,197,5175 zł,208 tys. zł
"FILM,GRY,INNE",Mekatron,2,10 zł,2335 zł
"GRY,GRAFIKA",3D Studio by Buser,26,605 zł,13 tys. zł
GRY,Kroniki Myrtany,FALSE,FALSE,FALSE
"GRY,SPORT,STREAMERZY",Zbigniew Pakleza,32,495 zł,9592 zł
"GRY,INNE,SPORT",Typerlandia,0,0 zł,2790 zł
"GRY,INNE,EDUKACJA",Graszki.pl,FALSE,FALSE,FALSE
GRY,Kwiatoss,0,0 zł,190 zł
"GRY,TEATR,COSPLAY,#KULTURAWSIECI",Spotkania na Szlaku,7,266 zł,9656 zł
"GRY,EDUKACJA",GraFok,0,0 zł,12 tys. zł
GRY,BestUP.pl,0,0 zł,240 zł
"GRY,INNE,SPORT",Speedway Challenge Liga Online,0,0 zł,175 zł
GRY,Klub Adeptus Mechanicus,0,0 zł,120 zł
GRY,Pan Nindyk,0,0 zł,150 zł
"GRY,INNE,GRAFIKA",ProfesorEscape,0,0 zł,60 zł
"GRY,SZTUKA,GRAFIKA",Hammers & Dragons - Tomasz Ratajczak,0,0 zł,390 zł
"GRY,RĘKODZIEŁO,DESIGN",RPG Beasts,0,0 zł,0 zł
GRY,ToxicTree Studio,2,75 zł,4225 zł
GRY,Stowarzyszenie Grota,1,20 zł,770 zł
"GRY,INNE",Quadina,0,0 zł,1295 zł
GRY,PepePlay,0,0 zł,0 zł
"GRY,RĘKODZIEŁO,DESIGN,#KULTURAWSIECI",Alien Lab Miniatures,0,0 zł,120 zł
"GRY,INNE",Na Brak Weny Ładuj Memy,0,0 zł,20 zł
GRY,Zarabiaj w FUT,0,0 zł,1720 zł
"GRY,DESIGN",Poland Rebuilding Team,5,140 zł,6307 zł
GRY,Projekt Kraków 1.0 Kraków 1.0,0,0 zł,10 zł
GRY,Projekt Five polish eXtreme Truck,FALSE,FALSE,FALSE
GRY,Lubuski Batalion Pancerny,0,0 zł,36 zł
GRY,nbwlmcraft.pl,0,0 zł,15 zł
"GRY,INNE,DESIGN",Nightmare Doors Studio,1,10 zł,30 zł
GRY,War Thunder Polska,0,0 zł,0 zł
GRY,VeCube Studio,0,0 zł,2605 zł
GRY,Gentlemans Club Warszawa,43,2550 zł,59 tys. zł
GRY,Helbreath Polska,0,0 zł,100 zł
"GRY,INNE,COSPLAY",KazeO Visual Novel,0,0 zł,277 zł
"WYPRAWY,GRY,SPORT",Wojciech Klessa,0,0 zł,605 zł
"GRY,DESIGN,GRAFIKA",Curiosit,0,0 zł,396 zł
GRY,HUMIGRAJ,6,186 zł,8644 zł
"GRY,RĘKODZIEŁO,COSPLAY",Kurorin,0,0 zł,45 zł
"GRY,PUBLICYSTYKA",Redakcja Gameeit,0,0 zł,0 zł
"GRY,EDUKACJA",MTGpoPolsku.pl,0,0 zł,39 zł
"GRY,EDUKACJA,PUBLICYSTYKA",Totalwar.org.pl,0,0 zł,5775 zł
"WYPRAWY,GRY,EDUKACJA",125 WDW HSG SDRI GROM,0,0 zł,30 zł
"GRY,SPORT,INNE",Gaming Arena,0,0 zł,0 zł
"GRY,SZTUKA,RĘKODZIEŁO",Traditional Pixels,0,0 zł,1885 zł
"GRY,DESIGN",MAFIA Online,0,0 zł,148 zł
GRY,Reverial.net,1,50 zł,300 zł
"GRY,SZTUKA,GRAFIKA",Paweł Bujak,0,0 zł,80 zł
GRY,Gildia DCS,26,705 zł,23 tys. zł
"GRY,GRAFIKA,MALARSTWO",Oliwia Czyzak,0,0 zł,0 zł
"GRY,INNE",Simplycs.pl,0,0 zł,0 zł
GRY,Bractwo Spolszczenia,3,40 zł,FALSE
"GRY,SPORT",Internet Speedway Quiz,2,30 zł,1240 zł
"GRY,INNE",3city Boardgamers,6,70 zł,6415 zł
"GRY,INNE",Hydra Community,0,0 zł,0 zł
GRY,Agency Servers,FALSE,FALSE,FALSE
GRY,Gismo Play,0,0 zł,0 zł
"FILM,GRY,SPORT,YOUTUBE",Kamil Dębowski,0,0 zł,0 zł
"GRY,DESIGN,GRAFIKA",Piotr Lindner,0,0 zł,0 zł
"FILM,GRY,SPORT,YOUTUBE",Skay Kasaya,0,0 zł,0 zł
GRY,Gothic 2 Zagadka Orków,0,0 zł,150 zł
"GRY,DESIGN",kuglarz,FALSE,FALSE,FALSE
"GRY,GRAFIKA",Planetarianie RPG,0,0 zł,2178 zł
"GRY,SPORT,EDUKACJA,PIŁKA NOŻNA",WZBet.pl,0,0 zł,90 zł
"GRY,SPORT,YOUTUBE",1stCav eSport Club,0,0 zł,195 zł
"GRY,COSPLAY,GRAFIKA",Damian Dante Rosik,0,0 zł,0 zł
GRY,Weles Studio,1,25 zł,435 zł
GRY,Seven Loud Gaming,0,0 zł,0 zł
GRY,Skilled Pear,0,0 zł,0 zł
GRY,"Reksio FFA, najstarszy serwer CS 1.6",0,0 zł,1270 zł
GRY,Oskar Żywicki,0,0 zł,147 zł
"GRY,EDUKACJA,GRAFIKA",Rainsted.com,0,0 zł,1242 zł
"GRY,SZTUKA,RĘKODZIEŁO",Rebelian,0,0 zł,0 zł
GRY,Markus Algorytmiczny,0,0 zł,0 zł
GRY,Sprzymierzeni Gaming,0,0 zł,50 zł
"GRY,SPORT,INNE",ANONYMOUS DIABLO FANS,0,0 zł,1100 zł
"GRY,RĘKODZIEŁO,GRAFIKA",Daniel Sikorski,0,0 zł,0 zł
"FILM,GRY,GRAFIKA",Gurgie,0,0 zł,3099 zł
GRY,Gilathiss,0,0 zł,1030 zł
GRY,Tymoteusz Masiakowski,0,0 zł,0 zł
"GRY,EDUKACJA,PUBLICYSTYKA",Jacek Wesołowski,14,273 zł,38 tys. zł
PUBLICYSTYKA,Więź,292,12160 zł,489 tys. zł
PUBLICYSTYKA,Codzienne Motywacje,1,5 zł,5 zł
"MUZYKA,TEATR,PUBLICYSTYKA",Dorota Kozińska,19,620 zł,620 zł
"SZTUKA,TEATR,PUBLICYSTYKA",Miej Miejsce,10,415 zł,415 zł
"LITERATURA,PUBLICYSTYKA",Marcin Zegadło,28,900 zł,1000 zł
"INNE,PUBLICYSTYKA",AstroNavigator Aleksandra Ziembińska,0,0 zł,0 zł
"SPORT,PUBLICYSTYKA,GRAFIKA",Che Juventus,7,93 zł,279 zł
"PUBLICYSTYKA,POLITYKA,SPOŁECZNE",Bawer Aondo-Akaa,11,415 zł,6100 zł
"FILM,SZTUKA,PUBLICYSTYKA",Filmopedia.org,FALSE,FALSE,FALSE
"WYPRAWY,INNE,PUBLICYSTYKA",Marek Narkiewicz,2,10 zł,330 zł
"WYPRAWY,SPORT,PUBLICYSTYKA",PolskieSzczyty,0,0 zł,0 zł
"FILM,SPORT,PUBLICYSTYKA",FighTimeTV,1,20 zł,1720 zł
"INNE,EDUKACJA,PUBLICYSTYKA",Rozkminki - Najważniejsze z Nieważnych,0,0 zł,0 zł
"WYPRAWY,EDUKACJA,PUBLICYSTYKA",Krzysztof Zimnicki,0,0 zł,20 zł
"EDUKACJA,PUBLICYSTYKA",Fundacja Na Rzecz Zrównoważonego Rozwoju,0,0 zł,0 zł
"WYPRAWY,SZTUKA,PUBLICYSTYKA",Wiktor Stadniczenko,0,0 zł,260 zł
"SPORT,PUBLICYSTYKA",Strefa boksu,0,0 zł,0 zł
"SZTUKA,SPORT,PUBLICYSTYKA",Blaugrana.pl,3,110 zł,4800 zł
PUBLICYSTYKA,Anatomia Zła - Sprawy Kryminalne w Polsce i nie tylko,0,0 zł,5 zł
"FILM,SZTUKA,PUBLICYSTYKA",Magazyn FilmPRO,1,30 zł,1500 zł
"RĘKODZIEŁO,EDUKACJA,PUBLICYSTYKA,#KULTURAWSIECI",Jorlandia,0,0 zł,0 zł
PUBLICYSTYKA,Po Sąsiedzku - Aleksandra Fedorska,0,0 zł,60 zł
"INNE,SPORT,PUBLICYSTYKA",Marta Włodarczyk,0,0 zł,0 zł
"SPORT,EDUKACJA,PUBLICYSTYKA","Kochamy Futbol. Polska, Biało-Czerwoni!",0,0 zł,0 zł
"SZTUKA,EDUKACJA,PUBLICYSTYKA,#KULTURAWSIECI",Fundacja Niezła Sztuka,88,1690 zł,54 tys. zł
"FILM,WYPRAWY,PUBLICYSTYKA",Kuba Witek,0,0 zł,280 zł
"SPORT,PUBLICYSTYKA",BOXING.PL,0,0 zł,455 zł
"WYPRAWY,EDUKACJA,PUBLICYSTYKA",Uzbrojenie armii świata,0,0 zł,450 zł
"WYPRAWY,EDUKACJA,PUBLICYSTYKA",UzbrojenieArmiiŚwiata UAŚ,0,0 zł,0 zł
PUBLICYSTYKA,JestemCzlowiekiemSukcesu,0,0 zł,9 zł
"FILM,WYPRAWY,PUBLICYSTYKA",Coins Hunters TV,0,0 zł,50 zł
PUBLICYSTYKA,Piknik na skraju głupoty,61,980 zł,41 tys. zł
"EDUKACJA,PUBLICYSTYKA",Wiekdwudziesty.pl,0,0 zł,150 zł
"SPORT,PUBLICYSTYKA,KOSZYKÓWKA",Loża NBA,FALSE,FALSE,FALSE
"SZTUKA,PUBLICYSTYKA,GRAFIKA,#KULTURAWSIECI",01 Gallery: wirtualna galeria sztuki,0,0 zł,0 zł
"SPORT,PUBLICYSTYKA,PIŁKA NOŻNA,KOSZYKÓWKA",Wygrany Kupon,0,0 zł,1095 zł
"SPORT,PUBLICYSTYKA,PIŁKA NOŻNA",Sportem zarażeni,0,0 zł,0 zł
PUBLICYSTYKA,Kresy.pl,1,40 zł,1210 zł
PUBLICYSTYKA,Przegląd Bałtycki,13,253 zł,7533 zł
"FILM,INNE,PUBLICYSTYKA",Telewizje Regionalne,0,0 zł,0 zł
"FILM,INNE,PUBLICYSTYKA",Animawka.pl i AnimawkaSubs,0,0 zł,0 zł
PUBLICYSTYKA,Józef Kamycki,0,0 zł,30 zł
"FILM,SPORT,PUBLICYSTYKA,YOUTUBE",Michał Fus,0,0 zł,33 zł
"SZTUKA,INNE,PUBLICYSTYKA",Living in Poland ironically,0,0 zł,105 zł
PUBLICYSTYKA,Magazyn Kontakt,97,3120 zł,77 tys. zł
"WYPRAWY,PUBLICYSTYKA",Zetolot.pl - loty za złotówkę,0,0 zł,0 zł
"SPORT,PUBLICYSTYKA,PIŁKA NOŻNA",Serie A Polonia,0,0 zł,140 zł
PUBLICYSTYKA,rydzyna24.pl,0,0 zł,0 zł
"SPORT,PUBLICYSTYKA,PIŁKA NOŻNA",Polish REDS,0,0 zł,7384 zł
PUBLICYSTYKA,Magazyn Desu,0,0 zł,0 zł
PUBLICYSTYKA,TRAMWAJ CIESZYŃSKI,0,0 zł,15 zł
"EDUKACJA,PUBLICYSTYKA",SPiR SWOJAK,0,0 zł,30 zł
PUBLICYSTYKA,Sławomir Mentzen,0,0 zł,4205 zł
"EDUKACJA,PUBLICYSTYKA",Salaterka.pl,FALSE,FALSE,FALSE
PUBLICYSTYKA,Klub Przyjaciół portalu Nasz Szydłowiec,1,10 zł,2050 zł
"SPORT,PUBLICYSTYKA,PIŁKA NOŻNA",Chelsea Poland,0,0 zł,45 zł
PUBLICYSTYKA,Liberté!,4,27 zł,17 tys. zł
"SZTUKA,PUBLICYSTYKA",Czasopismo MAGAZYN,0,0 zł,60 zł
"SPORT,PUBLICYSTYKA,PIŁKA NOŻNA",naszapilka.com,0,0 zł,15 zł
"SPORT,PUBLICYSTYKA",NoToSport,0,0 zł,50 zł
PUBLICYSTYKA,Portal,0,0 zł,0 zł
"SZTUKA,DESIGN,PUBLICYSTYKA",Buzzujemy.com | Magazyn Ludzi Kreatywnych,0,0 zł,0 zł
"SPORT,PUBLICYSTYKA,PIŁKA NOŻNA",Czerwoni z Manchesteru,0,0 zł,875 zł
"INNE,PUBLICYSTYKA",Kamil Macher,0,0 zł,5 zł
"FILM,INNE,PUBLICYSTYKA",Gallifrey.pl,0,0 zł,5163 zł
"SZTUKA,RĘKODZIEŁO,GRAFIKA,#KULTURAWSIECI",kolażówka2049,1,30 zł,585 zł
"SZTUKA,GRAFIKA,MALARSTWO,#KULTURAWSIECI",PRACOWNIA OKO,14,990 zł,53 tys. zł
"SZTUKA,GRAFIKA,MALARSTWO",ART HUB,14,490 zł,4250 zł
"SZTUKA,DESIGN,GRAFIKA",Mroux,90,1738 zł,52 tys. zł
"SZTUKA,COSPLAY,GRAFIKA",Karoinna,3,105 zł,11 tys. zł
"SZTUKA,GRAFIKA,MALARSTWO",piotr kamieniarz,4,210 zł,15 tys. zł
"SZTUKA,DESIGN,GRAFIKA",Viktoria Dębińska,1,25 zł,2075 zł
"SZTUKA,GRAFIKA,MALARSTWO",Kaedesan,0,0 zł,0 zł
"SZTUKA,GRAFIKA,MALARSTWO",Wojciech Wołoszyński,0,0 zł,0 zł
"SZTUKA,GRAFIKA,MALARSTWO",PUFF ART,0,0 zł,0 zł
"FILM,SZTUKA,GRAFIKA,#KULTURAWSIECI",Historia Artis - kreatywne filmy animowane,0,0 zł,0 zł
"SZTUKA,RĘKODZIEŁO,GRAFIKA",Filip Zbrzeźniak,0,0 zł,0 zł
"SZTUKA,DESIGN,GRAFIKA",Retentive83,0,0 zł,0 zł
"SZTUKA,GRAFIKA",AdamKozakGrafika,0,0 zł,0 zł
"SZTUKA,GRAFIKA,MALARSTWO,#KULTURAWSIECI",Przegląd U CZUĆ A,0,0 zł,0 zł
"RĘKODZIEŁO,GRAFIKA,MALARSTWO",The Art Custom Painting,0,0 zł,0 zł
"SZTUKA,DESIGN,GRAFIKA,#KULTURAWSIECI",Oskar Ślazyk,0,0 zł,0 zł
"INNE,SPORT,GRAFIKA",RugbyPL,1,10 zł,80 zł
"DESIGN,EDUKACJA,GRAFIKA",Lata3Dzieste,0,0 zł,0 zł
"SZTUKA,DESIGN,GRAFIKA",Konkursy Kreatywne,2,24 zł,336 zł
"RĘKODZIEŁO,DESIGN,GRAFIKA",Stolarnia WoodSS,0,0 zł,380 zł
"MODA,SZTUKA,GRAFIKA,#KULTURAWSIECI",HUMBAK outerwhale,0,0 zł,0 zł
"SZTUKA,GRAFIKA,MALARSTWO",Grzesiek Kubiak,0,0 zł,0 zł
"SZTUKA,GRAFIKA,MALARSTWO,#KULTURAWSIECI",BartLine,0,0 zł,560 zł
"SZTUKA,EDUKACJA,GRAFIKA",Kreatywne Notatki Vadim Gierko,0,0 zł,0 zł
"SZTUKA,GRAFIKA,MALARSTWO",GWAR przestrzeń artystyczna,0,0 zł,425 zł
"SZTUKA,GRAFIKA,MALARSTWO,#KULTURAWSIECI",Mirosław Sobiech,0,0 zł,100 zł
"SZTUKA,GRAFIKA,MALARSTWO",Kinga Piskorska @wlasart,FALSE,FALSE,FALSE
"WYPRAWY,RĘKODZIEŁO,GRAFIKA",Przemek Wojdas,0,0 zł,335 zł
"SZTUKA,GRAFIKA,MALARSTWO",Marcin Kulesza,0,0 zł,0 zł
"SZTUKA,DESIGN,GRAFIKA",Lena Woźniak,1,44 zł,1480 zł
"SZTUKA,RĘKODZIEŁO,GRAFIKA",Twoje profilowe ale w Paincie,1,3 zł,120 zł
"FILM,EDUKACJA,GRAFIKA",Agnieszka Cyrankiewicz,0,0 zł,FALSE
"GRAFIKA,MALARSTWO",Bogumił Hoder,0,0 zł,120 zł
"SZTUKA,GRAFIKA,MALARSTWO",Wirtualna galeria wrocławskich artystów,0,0 zł,0 zł
"SZTUKA,RĘKODZIEŁO,GRAFIKA,#KULTURAWSIECI",Piotr Adamczyk,0,0 zł,0 zł
"SZTUKA,GRAFIKA,MALARSTWO,#KULTURAWSIECI",Tomasz Kokott,FALSE,FALSE,FALSE
"INNE,COSPLAY,GRAFIKA",Senpai Gang,0,0 zł,748 zł
